spkid,a,e,i,om,w,ma,epoch,diameter,spec_B
2000951,2.20923778,0.173849911,4.106989772,253.0523345,129.9205875,172.9363571,2459000.5,12.2,S
2000961,2.693760329,0.091059453,10.99143024,26.61593329,285.275288,181.9071743,2459000.5,36.571,X
2000970,2.559813852,0.271655568,5.033092874,310.7736429,95.56423976,17.50148301,2459000.5,9.204,S
2000971,2.639826064,0.162585713,13.79240232,83.49478061,6.572350039,315.8853854,2459000.5,60.867,C
2000985,2.299643407,0.276987821,4.057656172,290.2939683,59.53518979,15.60568361,2459000.5,0,S
2000994,2.528965919,0.11657631,15.41188991,2.347783246,342.4278469,254.326187,2459000.5,20.786,S
2001016,2.218965821,0.128396386,6.034771446,8.839215563,53.21517175,114.2704761,2459000.5,9.539,S
2001017,2.605761274,0.078298846,7.928033924,118.9409617,68.1454865,292.8364982,2459000.5,40.152,C
2001020,2.789254053,0.04380139,4.059243348,180.6874888,36.77339959,188.4098027,2459000.5,10.067,S
2001022,2.805194775,0.174275562,21.05732506,111.9584803,124.7756758,178.3547658,2459000.5,34.297,X
2001032,3.12733897,0.14244048,9.484140557,76.313024,188.9273335,100.119709,2459000.5,65.658,X
2001034,2.292346518,0.263444566,3.972150255,304.4865927,18.87534114,226.9010127,2459000.5,7.919,S
2001036,2.664724624,0.533046118,26.67764119,215.5468279,132.3646325,4.817744335,2459000.5,37.675,S
2001039,2.67948709,0.060889459,4.553012446,221.6722356,327.0325795,146.3200202,2459000.5,33.853,X
2001041,3.072713884,0.144463629,13.93461616,60.00410902,344.1348922,26.4820721,2459000.5,60.571,C
2001045,2.3579173,0.159792121,0.264816253,267.6860538,166.8182461,117.8588417,2459000.5,6.104,S
2001052,2.235907989,0.143702509,4.697104086,99.57616239,297.8825069,113.9190452,2459000.5,9.785,S
2001055,2.198442157,0.207936521,5.277889859,147.122489,176.5511064,71.83882479,2459000.5,13.479,S
2001056,2.23025184,0.177938909,5.427866692,104.1379998,212.4665434,162.1596381,2459000.5,11.869,S
2001058,2.196140485,0.187453063,3.692441005,221.7321624,94.33655343,31.91245617,2459000.5,10.92,S
2001065,2.360529471,0.297360058,8.363335161,330.3230629,353.6264467,310.543249,2459000.5,0,S
2001069,3.128008781,0.109785598,13.56050766,142.3682483,31.56842506,254.9347329,2459000.5,35.657,S
2001076,2.473380881,0.146174378,3.320606477,143.6058073,304.6048341,323.3473261,2459000.5,22.298,C
2001088,2.201414742,0.195741587,7.651833104,54.48646725,319.6639108,142.4137483,2459000.5,15.137,S
2001102,3.069790516,0.110777788,15.82532509,216.5834918,117.2617565,90.39100325,2459000.5,36.632,S
